Round:1, Maxdegree:2, Time:0.036656856536865234
Round:2, Maxdegree:3, Time:0.06517553329467773
Round:3, Maxdegree:5, Time:0.0986020565032959
Round:4, Maxdegree:7, Time:0.12338662147521973
Round:5, Maxdegree:9, Time:0.2556929588317871
Round:6, Maxdegree:11, Time:0.382676362991333
Round:7, Maxdegree:13, Time:0.49977731704711914
Round:8, Maxdegree:16, Time:0.5660789012908936
Round:9, Maxdegree:19, Time:0.6927857398986816
Round:10, Maxdegree:21, Time:0.72110915184021
Round:11, Maxdegree:23, Time:0.9613227844238281
Round:12, Maxdegree:26, Time:1.0416607856750488
Round:13, Maxdegree:29, Time:1.3459150791168213
Round:14, Maxdegree:31, Time:1.387648105621338
Round:15, Maxdegree:33, Time:2.4496591091156006
Round:16, Maxdegree:37, Time:1.9324266910552979
Round:17, Maxdegree:39, Time:3.230661153793335
Round:18, Maxdegree:41, Time:2.907578706741333
Round:19, Maxdegree:44, Time:3.8440308570861816
Round:20, Maxdegree:47, Time:3.681849479675293
Round:21, Maxdegree:49, Time:5.2233264446258545
Round:22, Maxdegree:51, Time:5.373148679733276
Round:23, Maxdegree:54, Time:6.544702053070068
Round:24, Maxdegree:57, Time:5.752014398574829
Round:25, Maxdegree:59, Time:7.01911187171936
Round:26, Maxdegree:61, Time:8.171078443527222
Round:27, Maxdegree:62, Time:7.405717372894287
Round:28, Maxdegree:63, Time:5.622338771820068

