Round:4, Maxdegree:2, Time:0.0750279426574707
Round:5, Maxdegree:3, Time:0.08458256721496582
Round:6, Maxdegree:4, Time:0.21721363067626953
Round:7, Maxdegree:5, Time:0.3960399627685547
Round:8, Maxdegree:6, Time:0.5861568450927734
Round:9, Maxdegree:7, Time:0.7979419231414795
Round:10, Maxdegree:8, Time:1.0808815956115723
Round:11, Maxdegree:9, Time:1.4897031784057617
Round:12, Maxdegree:10, Time:1.808396339416504
Round:13, Maxdegree:11, Time:1.8944952487945557
Round:14, Maxdegree:12, Time:3.8008975982666016
Round:15, Maxdegree:13, Time:4.382267713546753
Round:16, Maxdegree:14, Time:5.032596826553345
Round:17, Maxdegree:15, Time:7.509629487991333
Round:18, Maxdegree:16, Time:7.648723125457764
Round:19, Maxdegree:17, Time:15.583086490631104
Round:20, Maxdegree:18, Time:26.258697032928467
Round:21, Maxdegree:19, Time:26.507971048355103
Round:22, Maxdegree:20, Time:27.355350494384766
Round:23, Maxdegree:21, Time:28.036821126937866
Round:24, Maxdegree:22, Time:43.009554624557495
Round:25, Maxdegree:23, Time:36.47323226928711
Round:26, Maxdegree:24, Time:176.54074549674988
Round:27, Maxdegree:25, Time:143.9419448375702
Round:28, Maxdegree:26, Time:153.8558807373047
Round:29, Maxdegree:27, Time:169.70807576179504
Round:30, Maxdegree:28, Time:172.34419345855713
Round:31, Maxdegree:29, Time:198.15568828582764
Round:32, Maxdegree:30, Time:192.8003797531128
Round:33, Maxdegree:31, Time:283.89453077316284
Round:34, Maxdegree:32, Time:765.1815996170044
Round:35, Maxdegree:33, Time:1026.5195531845093
Round:36, Maxdegree:34, Time:1134.8264575004578
Round:37, Maxdegree:35, Time:1379.9957392215729
Round:38, Maxdegree:36, Time:1323.176592350006
Round:39, Maxdegree:37, Time:824.9649968147278
Round:40, Maxdegree:38, Time:922.2337989807129
Round:41, Maxdegree:39, Time:825.1424882411957
Round:42, Maxdegree:40, Time:724.9275207519531
Round:43, Maxdegree:41, Time:3418.0542085170746
Round:44, Maxdegree:42, Time:3020.40997838974
Round:45, Maxdegree:43, Time:3441.866096496582
Round:46, Maxdegree:44, Time:3641.5408279895782
Round:47, Maxdegree:45, Time:4591.601500272751
Round:48, Maxdegree:46, Time:4406.936819791794
Round:49, Maxdegree:47, Time:5269.30513715744
Round:50, Maxdegree:48, Time:6203.434980392456
Round:51, Maxdegree:49, Time:5264.651973247528
Round:52, Maxdegree:50, Time:5068.778350353241
Round:53, Maxdegree:51, Time:5187.37828707695
Round:54, Maxdegree:52, Time:4607.635818719864
Round:55, Maxdegree:53, Time:4808.150668859482
Round:56, Maxdegree:54, Time:5542.060133934021
Round:57, Maxdegree:55, Time:4851.327188491821
Round:58, Maxdegree:56, Time:6123.113552570343
Round:59, Maxdegree:57, Time:6491.36510181427
Round:60, Maxdegree:58, Time:6585.22380900383
Round:61, Maxdegree:59, Time:9825.35607457161
Round:62, Maxdegree:60, Time:31699.53450012207
Round:63, Maxdegree:61, Time:32455.828193187714
Round:64, Maxdegree:62, Time:30181.41425395012
Round:65, Maxdegree:63, Time:25556.655985355377
Round:66, Maxdegree:64, Time:38780.133949279785
